Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
4/27/2016,away,Toledo,W,4-1,32,4,9,4,0,1,1,0,0,2,2,0,0,0,0,3,27,11,0,0.281
4/29/2016,home,Michigan,L,3-4,38,3,10,3,2,0,0,7,0,0,1,0,1,0,2,15,32,9,0,0.263
4/30/2016,away,Michigan,W,7-6,32,7,9,7,2,0,1,2,0,0,0,0,1,0,1,2,27,11,1,0.281
5/1/2016,home,Michigan,W,7-4,33,7,10,7,4,1,0,6,2,0,0,0,2,2,0,6,27,16,3,0.303
5/7/2016,away,Nebraska,L,3-6,31,3,6,1,1,0,1,5,0,0,0,1,0,0,3,6,27,10,4,0.19399999999999998
5/8/2016,away,Nebraska,W,4-2,31,4,13,4,0,0,1,2,0,0,1,0,2,0,0,5,27,10,1,0.419
5/9/2016,away,Nebraska,L,4-7,34,4,8,4,0,0,1,0,0,0,0,1,0,0,1,4,27,12,1,0.235
5/11/2016,home,Michigan State,L,2-3,28,2,3,1,0,0,0,2,0,2,0,2,0,0,1,9,24,8,2,0.107
5/13/2016,home,Iowa,W,5-1,35,5,10,5,4,1,1,3,0,1,0,2,1,1,0,6,27,12,2,0.28600000000000003
5/14/2016,home,Iowa,L,1-3,30,1,5,1,1,0,0,5,0,0,0,0,1,0,1,5,24,11,0,0.16699999999999998
5/15/2016,home,Iowa,L,1-5,33,1,5,1,1,0,0,3,0,0,0,0,0,0,0,4,24,11,3,0.152
5/17/2016,home,Central Michigan,L,1-12,29,1,4,1,1,0,0,6,0,0,0,1,0,0,2,8,24,12,2,0.138
5/19/2016,away,Maryland,L,3-6,32,3,6,3,3,0,0,0,0,1,0,0,0,1,0,6,27,8,2,0.188
5/20/2016,away,Maryland,W,4-3,49,4,12,3,1,0,0,4,2,2,0,3,1,1,0,4,39,15,1,0.245
5/21/2016,away,Maryland,L,4-6,32,4,8,4,1,2,1,4,1,1,0,2,2,0,1,6,27,11,1,0.25
5/25/2016,home,Nebraska,W,5-1,32,5,8,3,2,0,0,3,0,2,0,0,1,1,1,6,27,9,1,0.25
5/27/2016,home,Maryland,W,4-3,33,4,7,4,0,0,1,2,0,0,2,1,2,0,1,5,27,9,1,0.212
5/28/2016,home,Michigan State,W,3-2,35,3,9,3,1,0,1,3,0,1,1,1,3,0,0,9,30,14,0,0.257
5/29/2016,home,Michigan State,W,7-3,35,7,10,4,0,1,0,7,2,5,0,0,2,1,0,9,27,13,1,0.28600000000000003
2/17/2017,home,Abilene Christian,W,9-2,38,9,11,6,2,0,1,6,0,4,0,1,1,1,0,15,27,14,1,0.289
2/18/2017,home,Abilene Christian,W,19-7,45,19,23,18,6,1,5,7,0,2,3,1,0,2,0,5,27,11,1,0.511
2/18/2017,home,Abilene Christian,W,9-7,35,9,12,8,3,0,0,7,0,1,0,2,0,2,1,2,27,15,4,0.34299999999999997
2/19/2017,home,Abilene Christian,W,14-5,39,14,17,12,4,0,0,6,0,1,1,2,0,1,0,3,27,13,1,0.436
2/24/2017,home,UNCG,W,5-4,35,5,9,5,5,0,1,4,0,2,1,0,0,0,0,9,27,11,0,0.257
2/25/2017,home,UNCG,W,22-16,47,22,21,19,5,1,2,11,0,6,0,2,1,0,0,14,27,6,4,0.447
2/26/2017,home,UNCG,L,1-4,33,1,7,1,4,0,0,0,0,0,1,1,0,0,0,6,24,6,1,0.212
3/3/2017,home,Furman,W,3-2,33,3,7,3,0,0,2,2,0,1,0,2,1,0,1,7,27,13,2,0.212
3/4/2017,home,Michigan State,L,2-10,32,2,7,2,0,1,0,2,0,0,0,1,0,1,1,10,24,10,1,0.21899999999999997
3/5/2017,home,UT Martin,W,6-1,34,6,9,6,2,0,1,9,0,4,1,2,0,0,0,9,27,13,1,0.265
3/8/2017,home,Michigan State,W,9-2,33,9,7,7,2,0,1,4,0,2,0,1,1,0,2,11,27,4,1,0.212
3/10/2017,home,South Carolina,L,2-3,35,2,9,2,1,0,0,0,0,0,0,1,1,0,1,14,24,7,1,0.257
3/11/2017,home,South Carolina,L,2-5,32,2,5,2,1,0,1,3,0,0,0,0,0,0,0,11,24,11,1,0.156
3/17/2017,home,Campbell,W,3-1,33,3,6,2,2,0,0,3,0,1,1,1,1,0,0,5,27,3,1,0.182
3/18/2017,home,Richmond,W,13-4,41,13,14,12,4,0,2,12,0,5,0,1,0,0,1,7,27,9,0,0.341
3/19/2017,home,Michigan State,W,2-1,34,2,9,2,1,0,0,0,0,0,0,1,0,0,2,7,27,13,3,0.265
3/21/2017,away,Central Michigan,W,11-2,38,11,16,8,3,0,0,3,0,2,0,0,1,1,0,11,27,7,1,0.42100000000000004
3/24/2017,home,Illinois,W,12-1,42,12,13,11,4,0,3,5,0,1,0,0,0,0,0,9,27,11,2,0.31
3/24/2017,home,Illinois,W,12-4,36,12,11,10,2,0,2,10,0,0,2,0,0,0,0,8,27,7,1,0.306
3/26/2017,home,Illinois,W,17-6,39,17,13,15,3,0,8,7,0,0,0,1,0,1,1,7,27,12,0,0.33299999999999996
3/28/2017,away,Western Michigan,L,2-3,33,2,8,2,1,0,0,1,0,2,0,0,1,0,0,6,27,13,1,0.242
4/1/2017,away,Minnesota,L,2-3,31,2,6,2,1,0,0,3,0,0,0,0,1,0,1,10,27,4,2,0.19399999999999998
4/1/2017,away,Minnesota,L,3-4,36,3,10,3,2,0,0,2,0,1,1,0,0,0,0,5,27,8,1,0.278
4/2/2017,away,Minnesota,L,4-9,32,4,8,4,3,0,0,1,0,1,1,2,1,0,1,3,27,13,1,0.25
4/4/2017,home,Eastern Michigan,L,3-4,28,3,6,3,1,1,0,6,0,2,1,0,3,1,0,5,24,11,1,0.214
4/8/2017,away,Fresno State,W,10-4,39,10,16,9,3,0,1,6,0,0,0,1,1,0,0,7,27,8,1,0.41
4/8/2017,away,Fresno State,W,9-5,35,9,12,8,2,0,1,3,0,3,0,2,1,0,2,7,27,12,1,0.34299999999999997
4/9/2017,away,Fresno State,W,8-2,30,8,8,8,0,1,2,2,0,1,0,1,1,0,1,5,27,14,0,0.267
4/11/2017,home,Notre Dame,L,1-2,32,1,8,1,2,0,0,2,0,3,1,1,2,0,0,8,24,11,1,0.25
4/14/2017,away,Ohio State,W,2-0,30,2,7,2,4,1,0,2,0,1,0,0,0,1,0,3,27,9,0,0.233
4/15/2017,away,Ohio State,W,6-5,31,6,8,6,2,0,2,0,0,0,0,1,1,0,0,13,27,7,0,0.258
4/16/2017,away,Ohio State,L,8-13,34,8,8,8,2,0,2,5,0,0,0,0,0,0,1,6,27,14,4,0.235
4/18/2017,home,Michigan,L,4-12,28,4,4,4,2,1,0,6,0,0,0,3,1,0,1,8,24,11,0,0.14300000000000002
4/21/2017,home,Maryland,L,2-12,33,2,8,2,2,0,0,1,0,0,1,0,0,0,1,8,24,7,2,0.242
4/23/2017,home,Maryland,L,1-2,30,1,6,1,0,0,0,4,0,0,1,1,1,1,2,5,24,16,1,0.2
4/23/2017,home,Maryland,L,2-6,35,2,8,2,0,0,1,3,0,0,0,1,0,0,1,6,24,9,1,0.22899999999999998
4/26/2017,away,Toledo,W,11-1,34,11,13,8,1,0,1,7,0,4,1,2,2,0,2,2,27,15,1,0.382
4/28/2017,home,Northwestern,L,2-3,33,2,8,2,1,0,0,2,0,1,1,0,0,1,0,6,24,6,2,0.242
4/28/2017,home,Northwestern,W,8-1,33,8,8,6,1,0,2,3,0,4,1,3,2,0,2,9,27,12,0,0.242
